Airport ID,Name,City,Country,IATA,ICAO,Latitude,Longitude
498,Guernsey Airport,Guernsey,Guernsey,GCI,EGJB,49.435001373291016,-2.601969957351685
499,Jersey Airport,Jersey,Jersey,JER,EGJJ,49.20790100097656,-2.195509910583496
502,London Gatwick Airport,London,United Kingdom,LGW,EGKK,51.148102,-0.190278
503,London City Airport,London,United Kingdom,LCY,EGLC,51.505299,0.055278
507,London Heathrow Airport,London,United Kingdom,LHR,EGLL,51.4706,-0.461941
508,Southend Airport,Southend,United Kingdom,SEN,EGMC,51.5713996887207,0.6955559849739075
514,Blackpool International Airport,Blackpool,United Kingdom,BLK,EGNH,53.77170181274414,-3.0286099910736084
515,Humberside Airport,Humberside,United Kingdom,HUY,EGNJ,53.57440185546875,-0.350832998752594
517,Leeds Bradford Airport,Leeds,United Kingdom,LBA,EGNM,53.86589813232422,-1.6605700254440308
519,Hawarden Airport,Hawarden,United Kingdom,CEG,EGNR,53.1781005859375,-2.977780103683472
520,Isle of Man Airport,Isle Of Man,Isle of Man,IOM,EGNS,54.08330154418945,-4.623889923095703
521,Newcastle Airport,Newcastle,United Kingdom,NCL,EGNT,55.03749847412109,-1.6916699409484863
522,Durham Tees Valley Airport,Teesside,United Kingdom,MME,EGNV,54.50920104980469,-1.4294099807739258
523,East Midlands Airport,East Midlands,United Kingdom,EMA,EGNX,52.8311004639,-1.32806003094
529,Kirkwall Airport,Kirkwall,United Kingdom,KOI,EGPA,58.957801818847656,-2.9049999713897705
530,Sumburgh Airport,Sumburgh,United Kingdom,LSI,EGPB,59.87889862060547,-1.295560002326965
531,Wick Airport,Wick,United Kingdom,WIC,EGPC,58.45890045166016,-3.09306001663208
532,Aberdeen Dyce Airport,Aberdeen,United Kingdom,ABZ,EGPD,57.20190048217773,-2.197779893875122
533,Inverness Airport,Inverness,United Kingdom,INV,EGPE,57.54249954223633,-4.047500133514404
534,Glasgow International Airport,Glasgow,United Kingdom,GLA,EGPF,55.8718986511,-4.43306016922
535,Edinburgh Airport,Edinburgh,United Kingdom,EDI,EGPH,55.95000076293945,-3.372499942779541
536,Islay Airport,Islay,United Kingdom,ILY,EGPI,55.68190002441406,-6.256669998168945
537,Glasgow Prestwick Airport,Prestwick,United Kingdom,PIK,EGPK,55.5093994140625,-4.586669921875
